TF	target	importance
BRF1	PHF20L1	95.0
BRF1	TRAF1	90.0
BRF1	RER1	85.0
BRF1	LENG8	66.0
BRF1	SERTAD2	58.0
BRF1	PCIF1	53.0
BRF1	LRRC8A	50.0
BRF1	KCNAB2	47.0
BRF1	BPGM	46.0
BRF1	DOK2	46.0
BRF1	DEDD2	44.0
BRF1	DNAJC30	44.0
BRF1	TIMM9	44.0
BRF1	LPCAT4	43.0
BRF1	SEC61A1	42.0
BRF1	ZNF680	40.0
BRF1	RHOH	39.0
BRF1	NUCKS1	39.0
BRF1	TBC1D15	37.0
BRF1	GABPA	37.0
BRF1	ZBTB1	36.0
BRF1	TSG101	36.0
BRF1	ILF3-AS1	35.0
BRF1	CHPF2	35.0
BRF1	MT2A	34.0
BRF1	MNDA	34.0
BRF1	QKI	33.0
BRF1	ECH1	32.0
BRF1	POLR2H	32.0
BRF1	SRSF4	30.0
BRF1	RAF1	28.0
BRF1	PPP6C	28.0
BRF1	PECAM1	27.0
BRF1	STX7	27.0
BRF1	ACADM	26.0
BRF1	RPL37	25.0
BRF1	ZNF500	25.0
BRF1	SNX6	25.0
BRF1	SLC39A7	25.0
BRF1	GPATCH2	25.0
BRF1	PNISR	25.0
BRF1	ARNT	25.0
BRF1	CYFIP1	25.0
BRF1	NUDCD1	25.0
BRF1	TMEM30A	25.0
BRF1	USP16	25.0
BRF1	SDF2	25.0
BRF1	LYN	25.0
BRF1	CENPQ	25.0
BRF1	KDSR	25.0
BRF1	ZNF511	25.0
BRF1	YTHDC1	25.0
BRF1	COG2	25.0
BRF1	SYVN1	25.0
BRF1	AFF4	25.0
BRF1	ATHL1	25.0
BRF1	GPAT3	25.0
BRF1	ATF6	25.0
BRF1	VPS33A	25.0
BRF1	IL6ST	25.0
BRF1	ACOX1	25.0
BRF1	ABCG1	25.0
BRF1	FBXL4	25.0
BRF1	WWP1	25.0
BRF1	TIPIN	25.0
BRF1	F8A1	25.0
BRF1	JOSD1	25.0
BRF1	CNP	25.0
BRF1	GLT8D1	25.0
BRF1	LIX1L	25.0
BRF1	HLA-DPA1	25.0
BRF1	RAB11B	25.0
BRF1	ESYT2	25.0
BRF1	E2F3	25.0
BRF1	ACD	25.0
BRF1	RPL35A	25.0
BRF1	PLA2G12A	25.0
BRF1	MTA2	25.0
BRF1	DMXL2	25.0
BRF1	ADIPOR2	25.0
BRF1	TRABD2A	25.0
BRF1	DDX19B	25.0
BRF1	NARS2	25.0
BRF1	TYROBP	25.0
BRF1	ZNF207	25.0
BRF1	MARCKSL1	25.0
BRF1	PDE4B	25.0
BRF1	ABCF2	25.0
BRF1	POP7	25.0
BRF1	PUF60	25.0
BRF1	PSMC1	25.0
BRF1	FNBP1	25.0
BRF1	PTGES2	25.0
BRF1	TMEM33	25.0
BRF1	NSUN2	25.0
BRF1	OSTF1	25.0
BRF1	ATF3	25.0
BRF1	ANGEL2	25.0
BRF1	ZNF428	25.0
BRF1	CREB1	25.0
BRF1	GPR89A	25.0
BRF1	LAMTOR4	25.0
BRF1	DDX6	25.0
BRF1	CAPN7	25.0
BRF1	BTF3L4	25.0
BRF1	AP1S1	25.0
BRF1	STX17	25.0
BRF1	PLEKHA3	25.0
BRF1	FZR1	25.0
BRF1	CSE1L	25.0
BRF1	EPC2	25.0
BRF1	ASCC1	25.0
BRF1	CNOT3	25.0
BRF1	KLHL36	25.0
BRF1	YY1	25.0
BRF1	HERPUD2	25.0
BRF1	MYH11	25.0
BRF1	URGCP	25.0
BRF1	SEC22A	25.0
BRF1	RBMS1	25.0
BRF1	TAF2	25.0
BRF1	SETD1A	25.0
BRF1	KCTD5	25.0
BRF1	PHF8	25.0
BRF1	ZNF75A	25.0
BRF1	DNMT3A	25.0
BRF1	GON4L	25.0
BRF1	WTAP	25.0
BRF1	CIC	25.0
BRF1	CDADC1	25.0
BRF1	POT1	25.0
BRF1	PRDM2	25.0
BRF1	GOLGA3	25.0
BRF1	IRF2BP1	25.0
BRF1	C11orf1	25.0
BRF1	FAM50A	25.0
BRF1	TPRA1	25.0
BRF1	TRIM26	25.0
BRF1	SBDS	25.0
BRF1	RAP1GAP2	25.0
BRF1	FAM134A	25.0
BRF1	SSU72	25.0
BRF1	NRGN	25.0
BRF1	ZC3H12A	25.0
BRF1	DAAM1	25.0
BRF1	RASGRP3	25.0
BRF1	TBC1D9B	25.0
BRF1	ZNF414	25.0
BRF1	NBAS	25.0
BRF1	TRIM28	25.0
BRF1	BCL2L12	25.0
BRF1	RPAP3	25.0
BRF1	MXD3	25.0
BRF1	CSNK1G2	25.0
BRF1	HN1	25.0
BRF1	C1orf50	25.0
BRF1	IL17RA	25.0
BRF1	CD244	25.0
BRF1	NF2	25.0
BRF1	INF2	25.0
BRF1	SSR3	25.0
BRF1	DHX36	25.0
BRF1	OSCAR	25.0
BRF1	LYPLA1	25.0
BRF1	PTBP3	25.0
BRF1	PIDD1	25.0
BRF1	KDM1A	25.0
BRF1	SNHG7	25.0
BRF1	LY86	25.0
BRF1	TNFAIP8L1	25.0
BRF1	HACL1	25.0
BRF1	LY6E	25.0
BRF1	WARS	25.0
BRF1	TCEANC2	25.0
BRF1	MUL1	25.0
BRF1	IER5	25.0
BRF1	NRBP1	25.0
BRF1	FBXO11	25.0
BRF1	RP2	25.0
BRF1	ZNF33A	25.0
BRF1	ATP2A3	25.0
BRF1	PTCH2	25.0
BRF1	DDX59	25.0
BRF1	METTL17	25.0
BRF1	RAB11FIP4	25.0
BRF1	DNAJC5	25.0
